COG3010	G
COG3011	R
COG3012	S
COG3013	S
COG3014	S
COG3015	MV
COG3016	S
COG3017	M
COG3018	S
COG3019	S
COG3452	T
COG5271	J
COG4718	X
COG4719	S
COG4716	S
COG4717	S
COG4714	S
COG4715	S
COG4712	S
COG4713	S
COG4710	R
COG4711	S
COG1874	G
COG1875	R
COG1876	M
COG1877	G
COG0079	E
COG1872	S
COG1873	R
COG2383	S
COG2382	P
COG1073	T
COG1878	E
COG1879	G
COG2385	M
COG2384	J
COG0723	C
COG0722	E
COG0721	J
COG0720	H
COG0727	R
COG0726	GM
COG0725	P
COG0724	J
COG5013	CP
COG0729	M
COG0728	M
COG2209	C
COG3466	X
COG4168	V
COG4056	H
COG3981	R
COG3708	K
COG3463	S
COG3704	U
COG3705	E
COG3706	TK
COG3462	S
COG3700	PR
COG3701	U
COG3702	U
COG3703	P
COG0540	F
COG3085	S
COG4051	S
COG1132	V
COG5399	S
COG5398	H
COG5395	S
COG3469	G
COG5397	S
COG5393	S
COG3468	MU
COG0381	M
COG0380	G
COG0383	G
COG0382	H
COG0385	R
COG0384	R
COG0387	P
COG0386	VI
COG0389	L
COG0388	R
COG0435	C
COG0434	R
COG0433	L
COG0432	H
COG0431	C
COG0430	A
COG4549	S
COG3666	X
COG4547	H
COG4545	O
COG4544	S
COG3665	S
COG4541	S
COG4540	X
COG2721	G
COG2720	V
COG1528	P
COG1529	C
COG4869	Q
COG1522	K
COG1523	G
COG1520	M
COG1521	H
COG1526	C
COG1527	C
COG1524	R
COG1525	L
COG1250	I
COG1251	C
COG1252	C
COG1253	R
COG1254	C
COG1255	S
COG1256	N
COG1257	I
COG1258	J
COG1259	R
COG1708	R
COG1709	K
COG2875	H
COG2874	N
COG2877	M
COG2876	E
COG1092	J
COG1093	J
COG1090	R
COG0658	R
COG1096	J
COG1097	J
COG1094	J
COG1095	K
COG0653	U
COG0652	O
COG0651	CP
COG0650	C
COG0657	I
COG0656	Q
COG0655	C
COG0654	HC
COG4099	R
COG4098	L
COG3965	P
COG4091	E
COG4090	S
COG4093	S
COG4092	M
COG4095	S
COG4094	S
COG4097	P
COG4096	V
COG1416	P
COG1417	S
COG1414	K
COG1415	S
COG1412	J
COG1413	R
COG1410	E
COG1411	R
COG1353	V
COG5632	M
COG3528	S
COG3529	R
COG1418	JR
COG1419	N
COG5630	E
COG3963	I
COG5577	M
COG1746	J
COG4659	C
COG1352	NT
COG1679	C
COG1676	J
COG1677	N
COG1674	D
COG1675	K
COG1672	R
COG1673	R
COG1670	JO
COG1671	S
COG5377	X
COG4167	V
COG3800	R
COG4146	R
COG4160	E
COG1388	M
COG1389	L
COG1386	K
COG1387	ER
COG1384	J
COG1385	J
COG1382	O
COG1383	J
COG1380	R
COG1381	L
COG4367	S
COG1747	S
COG2388	R
COG4362	P
COG4464	T
COG2747	KN
COG5314	X
COG1871	NT
COG3850	T
COG2045	HR
COG3451	U
COG5418	S
COG5419	S
COG2746	V
COG5412	X
COG5413	S
COG5410	S
COG5048	R
COG5417	S
COG5414	K
COG2888	R
COG2380	S
COG5135	S
COG4762	S
COG2043	S
COG5022	R
COG2386	O
COG2879	S
COG3380	R
COG3381	O
COG2880	R
COG3383	R
COG3384	Q
COG1757	C
COG3386	G
COG3387	G
COG3388	K
COG3389	O
COG1597	IR
COG1756	J
COG1759	F
COG5643	R
COG5258	R
COG1758	K
COG2882	N
COG2881	S
COG2019	F
COG2018	T
COG4050	S
COG1596	M
COG2012	K
COG2011	E
COG2010	C
COG2017	G
COG2016	J
COG2015	Q
COG2014	S
COG5283	X
COG0442	J
COG2886	R
COG0443	O
COG2887	L
COG0440	E
COG5497	S
COG4943	T
COG4942	D
COG4941	K
COG0441	J
COG4947	R
COG4946	S
COG4945	GT
COG4944	S
COG1740	C
COG0446	I
COG4949	S
COG4948	MR
COG5578	S
COG0447	H
COG0444	EP
COG5360	S
COG0445	J
COG2127	O
COG2126	J
COG2125	J
COG2124	QV
COG2123	J
COG2122	S
COG1741	R
COG2120	G
COG4188	R
COG5281	X
COG2129	R
COG2128	P
COG4430	S
COG2884	D
COG4264	P
COG3457	E
COG5280	X
COG4691	V
COG2469	S
COG2885	M
COG2461	S
COG4696	R
COG4891	S
COG4068	R
COG4893	S
COG4892	R
COG2268	S
COG2269	J
COG4897	S
COG4069	S
COG2264	J
COG2265	J
COG2266	H
COG2267	I
COG2260	J
COG2261	R
COG1346	M
COG2263	R
COG5036	PU
COG2959	S
COG4537	X
COG4344	K
COG4698	S
COG4347	S
COG3364	R
COG4060	H
COG3029	C
COG3028	J
COG3025	P
COG3024	L
COG3027	D
COG3026	T
COG3021	R
COG4062	H
COG3023	M
COG3022	P
COG2220	G
COG4769	S
COG2951	M
COG3560	R
COG4763	S
COG4064	H
COG4760	S
COG4767	V
COG4766	E
COG4765	S
COG2957	E
COG1841	J
COG1840	P
COG1843	N
COG1842	KT
COG1845	C
COG1844	S
COG1847	R
COG1846	K
COG1849	S
COG1848	R
COG4919	J
COG0730	S
COG0731	J
COG0732	V
COG0733	R
COG0735	P
COG0736	I
COG0737	FV
COG0738	G
COG0739	M
COG3242	S
COG4483	S
COG4420	S
COG4421	M
COG4422	X
COG2083	S
COG4424	M
COG4425	S
COG4293	S
COG5078	O
COG3739	S
